,KMeans_Score,Cluster_Count
0,13197933.9269,1
1,7466736.75543,2
2,5276122.07491,3
3,3802226.33333,4
4,3076289.42279,5
5,2595727.76832,6
6,2360550.10461,7
7,2099859.30163,8
8,1964088.18023,9
9,1845183.18523,10
10,1748075.15498,11
11,1658066.31353,12
12,1567150.88435,13
13,1510821.87048,14
14,1444925.16658,15
15,1377641.95613,16
16,1324541.52006,17
17,1279962.44771,18
18,1239601.23833,19
19,1189718.43302,20
